"Average greedy latency,",mask/active_rate,mask/forced_rate,mask/all_invalid_rate,policy/invalid_action_rate,policy/argmax_masked_rate,policy/entropy_valid,critic/value_abs_max,inner_update_mode,PolicyExecTime,EnvExecTime,AverageDiscountedReturn,AverageReturn,NumTrajs,StdReturn,MaxReturn,MinReturn,"Average energy,",Itr,"Average reward, ","Average latency,",split_role,seed,split_version,support_graphs_per_meta_task,support_trajectories_per_meta_task,query_graph_count,k_steps,outer_update_count,entropy_coefficient,value_clip_epsilon,ppo_batch_size_trajectories,meta_batch_size_distributions,inner_learning_rate,outer_learning_rate,outer_update_method,hyperparameter_provenance.policy,validation_query_composite_objective_k0,validation_query_composite_objective,validation_query_mean_latency_k0,validation_query_mean_latency_k3,checkpoint_selection_metric,checkpoint_is_best_val
614.7970093904768,0.0,0.0,0.0,0.0,0.0,0.055775905422814555,1.1301493644714355,publication,29.188977479934692,67.62475514411926,0.8674678562291319,0.946501378092228,10000,0.07799946027417003,1.0728158229650253,0.5948874984028165,75.89667555343486,30,0.946501378092228,626.2373534425082,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,31,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
606.6516427646773,0.0,0.0,0.0,0.0,0.0,0.057499167670652586,1.003901720046997,publication,36.78515672683716,69.09570932388306,0.8584123027760557,0.9368935015263753,10000,0.0878582598125079,1.0941469446163417,0.549564723044942,81.52790565033744,31,0.9368935015263753,667.237547856903,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,32,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
625.5801611309461,0.0,0.0,0.0,0.0,0.0,0.06045124296428174,0.8514361381530762,publication,37.24679899215698,69.50639343261719,0.8509001454117114,0.9275143991183348,10000,0.09244595994207622,1.086579404115751,0.5999044913439069,79.38998620662483,32,0.9275143991183348,668.8712735777937,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,33,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
596.079923252024,0.0,0.0,0.0,0.0,0.0,0.053005910536489176,0.8361786603927612,publication,30.109954357147217,68.81214904785156,0.8782349611918884,0.9592388480671054,10000,0.07842754319071953,1.1035767700017376,0.4604918543716674,69.79697904006632,33,0.9592388480671054,581.0369496518148,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,34,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
614.5558066424096,0.0,0.0,0.0,0.0,0.0,0.05393119586558104,0.8968914151191711,publication,37.8996958732605,69.31000065803528,0.8610795525987415,0.9389360367476683,10000,0.08996236628435053,1.1035767700017376,0.407374343961026,75.07002889728508,34,0.9389360367476683,630.6718235827718,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,35,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
632.4944574965477,0.0,0.0,0.0,0.0,0.0,0.055397650776393366,0.9927962422370911,publication,29.023672580718994,68.8863537311554,0.8407281306186946,0.9167750279620852,10000,0.0931716937142444,1.0941469446163417,0.6211436850812699,85.92778216687634,35,0.9167750279620852,717.4518694214672,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,36,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
606.1623766417367,0.0,0.0,0.0,0.0,0.0,0.04965593308254807,1.0218496322631836,publication,28.946192979812622,67.40267252922058,0.8753561547118907,0.9561983973058317,10000,0.0735318585591028,1.0896422730966202,0.407374343961026,67.05354735408456,36,0.9561983973058317,597.6960807930128,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,37,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
615.858250404426,0.0,0.0,0.0,0.0,0.0,0.05222233858467158,1.052180290222168,publication,36.17625951766968,69.18573665618896,0.8549794346429243,0.9318679787434994,10000,0.09641617630410794,1.083719008968831,0.5672413560114398,74.91524924041596,37,0.9318679787434994,640.9247075591959,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,38,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
591.5657512817111,0.0,0.0,0.0,0.0,0.0,0.04740492474865941,0.9998059868812561,publication,36.854151248931885,66.74297571182251,0.8755359867195278,0.953804313271094,10000,0.08637168848559036,1.070076978048335,0.5946243671338541,66.8791134329869,38,0.953804313271094,599.7419885725825,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,39,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
612.1918864139693,0.0,0.0,0.0,0.0,0.0,0.04429596469859197,0.973300039768219,publication,36.25733232498169,70.07294368743896,0.8718040211489533,0.9514540561379625,10000,0.07828606712754792,1.083719008968831,0.6593832866751556,65.76780522154367,39,0.9514540561379625,625.515998172508,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,40,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
